NODR30A,ALCTRY,ALCREC,IRALCFY,ALCYDAYS,TOTDRINK,IRSEX,AGE_YRS,BOOKED
3,16,1,104,4,104,1,20,1
3,12,1,364,5,364,1,21,2
4,17,1,156,4,156,2,21,2
4,11,1,156,4,156,1,20,1
1,18,1,60,3,60,2,35,2
6,23,1,1,1,1,1,50,1
7,11,1,240,4,240,2,16,2
5,14,1,104,4,104,2,20,2
4,15,1,104,4,104,1,20,2
2,14,1,52,3,52,2,50,2
13,10,1,312,5,312,1,21,1
1,20,1,4,1,4,2,21,2
15,13,1,52,3,52,1,26,1
1,14,1,84,3,84,1,35,2
2,17,1,156,4,156,2,21,2
1,12,1,10,1,1,2,13,2
2,18,1,104,4,104,2,35,1
1,17,1,25,2,25,2,35,2
3,15,1,260,4,260,1,24,1
2,18,1,24,2,24,2,22,2
9,13,1,35,2,35,1,16,1
2,16,1,72,3,72,2,21,2
2,21,1,60,3,60,1,35,2
30,16,1,156,4,156,1,24,1
1,15,1,60,3,60,2,50,2
2,17,1,120,4,120,2,26,1
1,15,1,3,1,3,2,15,2
1,17,1,104,4,104,2,22,2
7,12,1,24,2,24,1,35,1
2,16,1,24,2,24,2,21,2
1,17,1,12,2,12,2,24,2
10,17,1,12,2,12,1,22,2
1,15,1,60,3,60,2,26,2
2,15,1,36,2,36,2,19,2
2,15,1,72,3,72,2,17,2
2,10,1,48,2,48,1,50,1
7,12,1,24,2,24,2,15,1
2,14,1,208,4,208,2,22,1
2,16,1,12,2,12,2,22,2
5,8,1,2,1,2,1,14,2
4,12,1,180,4,180,1,21,1
7,15,1,156,4,156,2,18,2
1,16,1,15,2,15,2,35,2
2,18,1,24,2,24,2,21,2
1,21,1,5,1,5,2,65,2
26,14,1,20,2,20,1,22,1
1,13,1,260,4,260,2,35,2
13,14,1,260,4,260,1,22,1
1,20,1,104,4,104,1,24,1
2,13,1,156,4,156,1,21,2
3,13,1,24,2,24,1,30,2
1,19,1,60,3,60,2,21,2
2,12,1,365,5,365,1,24,2
5,17,1,104,4,104,2,24,2
2,14,1,260,4,260,1,30,1
2,16,1,6,1,6,2,35,2
1,15,1,24,2,24,2,18,2
2,15,1,156,4,156,2,35,2
2,17,1,52,3,52,2,22,2
2,15,1,52,3,52,2,35,2
2,15,1,120,4,120,1,19,2
6,15,1,104,4,104,1,22,1
5,7,1,72,3,72,1,19,2
3,17,1,48,2,48,2,26,2
3,14,1,208,4,208,2,20,2
1,16,1,24,2,24,2,35,2
3,19,1,36,2,36,2,22,2
11,14,1,144,4,144,1,30,2
2,18,1,60,3,60,2,21,2
6,20,1,208,4,208,1,35,2
6,15,1,156,4,156,2,19,2
1,18,1,30,2,30,2,26,2
6,12,1,72,3,72,1,24,2
10,8,1,156,4,156,1,20,2
3,15,1,7,1,7,1,22,2
30,15,1,25,2,25,2,17,2
3,16,1,24,2,24,1,18,1
2,15,1,1,1,1,1,50,2
7,16,1,24,2,24,1,18,1
2,13,1,208,4,208,1,22,2
2,16,1,104,4,104,1,35,1
5,19,1,3,1,3,2,20,2
5,19,1,180,4,180,1,24,1
2,17,1,180,4,180,2,20,2
10,14,1,156,4,156,1,21,2
1,17,1,52,3,52,1,35,2
1,14,1,5,1,5,1,15,2
3,12,1,36,2,36,1,35,1
4,7,1,104,4,104,1,26,1
15,17,1,208,4,208,1,24,2
10,3,1,156,4,156,1,16,2
2,15,1,52,3,52,2,22,2
2,13,1,104,4,104,2,18,2
2,15,1,104,4,104,1,50,1
1,13,1,24,2,24,1,35,2
3,18,1,52,3,52,2,35,2
2,18,1,48,2,48,2,21,2
3,17,1,104,4,104,1,20,2
3,14,1,7,1,7,1,16,2
4,17,1,5,1,5,2,19,2
2,25,1,52,3,52,2,30,2
2,16,1,36,2,36,2,35,2
90,9,1,29,2,29,1,13,2
2,16,1,12,2,12,1,35,2
2,13,1,35,2,35,1,30,2
1,18,1,5,1,5,2,24,2
5,12,1,104,4,104,1,18,2
5,16,1,120,4,120,2,22,2
4,14,1,60,3,60,2,16,2
1,11,1,2,1,2,1,12,2
2,17,1,104,4,104,2,35,2
2,18,1,104,4,104,2,21,2
5,10,1,240,4,240,1,30,2
1,19,1,24,2,24,2,21,2
4,17,1,120,4,120,1,26,1
2,13,1,48,2,48,2,24,2
1,15,1,3,1,3,1,50,2
7,14,1,36,2,36,1,20,1
5,18,1,156,4,156,2,30,2
6,12,1,60,3,60,1,22,2
3,18,1,10,1,10,2,19,2
1,18,1,52,3,52,1,26,2
2,14,1,104,4,104,2,24,1
2,18,1,12,2,12,2,24,2
1,16,1,1,1,1,1,65,2
12,16,1,208,4,208,2,19,2
3,17,1,3,1,52,2,17,2
2,14,1,156,4,156,1,50,1
4,16,1,52,3,52,1,21,2
1,16,1,60,3,60,2,35,2
5,18,1,5,1,5,1,50,1
2,15,1,10,1,10,1,17,2
3,16,1,2,1,2,2,30,2
2,21,1,10,1,10,2,26,2
3,14,1,24,2,24,2,35,2
1,18,1,156,4,156,2,50,2
1,19,1,24,2,24,2,22,2
2,15,1,200,4,200,2,21,2
1,16,1,36,2,36,2,50,2
6,15,1,52,3,52,2,18,2
5,30,1,260,4,260,1,50,1
3,18,1,24,2,24,2,24,2
5,10,1,365,5,365,1,22,1
1,11,1,1,1,1,1,13,2
2,15,1,12,2,12,1,35,2
3,14,1,96,3,96,1,20,1
4,15,1,300,5,300,1,24,1
3,18,1,5,1,5,2,18,2
4,10,1,5,1,5,1,18,1
2,15,1,104,4,104,2,35,2
2,12,1,104,4,104,1,26,2
2,13,1,36,2,36,1,50,2
1,13,1,36,2,36,2,26,2
1,16,1,4,1,4,2,18,2
2,19,1,5,1,5,2,19,2
3,16,1,15,2,15,2,20,2
2,19,1,120,4,120,1,22,2
12,17,1,342,5,364,1,65,2
1,18,1,6,1,6,1,19,1
8,12,1,156,4,156,1,18,1
5,13,1,48,2,48,2,19,1
3,5,1,156,4,156,1,30,2
3,15,1,26,2,26,1,22,2
20,13,1,20,2,20,1,20,2
5,12,1,36,2,36,2,17,2
1,18,1,96,3,96,2,35,2
4,14,1,52,3,52,1,22,1
4,15,1,104,4,104,1,35,1
5,14,1,28,2,48,2,15,2
2,14,1,156,4,156,1,35,1
1,17,1,36,2,36,2,21,2
6,13,1,72,3,72,2,16,2
1,19,1,12,2,12,2,26,2
7,15,1,10,1,10,2,18,2
3,16,1,52,3,52,1,35,1
7,9,1,52,3,52,2,22,2
3,12,1,24,2,24,2,17,2
2,13,1,104,4,104,1,35,1
2,14,1,7,1,7,2,26,2
2,10,1,84,3,84,1,17,2
1,18,1,12,2,12,1,20,2
1,14,1,312,5,312,2,35,2
1,15,1,4,1,4,1,18,2
1,24,1,72,3,72,1,65,2
1,7,1,1,1,1,2,14,1
3,18,1,104,4,104,2,24,2
2,16,1,104,4,104,2,35,2
2,14,1,6,1,6,2,35,2
1,12,1,3,1,3,1,16,2
1,12,1,36,2,36,2,35,2
3,14,1,72,3,72,2,18,2
4,12,1,5,1,5,2,14,2
6,14,1,36,2,36,2,24,2
3,14,1,24,2,24,1,18,1
3,16,1,24,2,24,2,30,2
3,16,1,156,4,156,1,22,2
3,18,1,48,2,48,1,21,2
6,11,1,156,4,156,2,22,1
1,15,1,36,2,36,1,65,2
1,19,1,60,3,60,1,35,2
4,16,1,104,4,104,1,22,1
4,14,1,12,2,12,2,35,2
4,17,1,36,2,36,2,20,2
2,18,1,240,4,240,1,26,2
1,18,1,3,1,3,2,18,2
1,12,1,312,5,312,1,26,2
10,15,1,156,4,156,1,20,2
2,23,1,104,4,104,1,35,2
3,20,1,104,4,104,2,30,2
1,13,1,10,1,10,2,30,2
4,14,1,104,4,104,2,17,2
3,18,1,2,1,2,2,18,2
3,13,1,208,4,208,1,24,1
6,15,1,52,3,52,2,18,2
12,12,1,156,4,156,1,22,2
7,12,1,60,3,60,1,17,2
3,14,1,208,4,208,2,17,1
12,16,1,120,4,120,2,24,2
1,6,1,4,1,4,1,26,2
2,16,1,14,2,14,1,26,2
4,16,1,10,1,10,2,35,2
2,15,1,104,4,104,2,24,2
3,15,1,88,3,108,2,16,2
1,15,1,12,2,12,1,65,2
1,20,1,10,1,10,2,21,2
1,16,1,72,3,72,1,26,1
2,13,1,36,2,36,2,22,2
1,12,1,3,1,3,2,14,2
2,15,1,24,2,24,2,20,2
4,15,1,96,3,96,1,21,1
1,17,1,5,1,5,2,30,2
2,17,1,96,3,96,2,24,2
5,15,1,156,4,156,1,24,2
2,16,1,300,5,300,1,30,1
4,15,1,36,2,36,1,26,2
3,16,1,24,2,24,1,19,1
5,16,1,260,4,260,1,35,1
10,15,1,4,1,4,1,24,1
1,10,1,30,2,30,2,22,1
1,20,1,24,2,24,2,24,2
4,6,1,156,4,156,1,30,1
2,14,1,12,2,12,1,16,2
12,15,1,312,5,312,1,26,1
6,11,1,48,2,48,2,20,2
2,18,1,180,4,180,1,50,2
4,18,1,364,5,364,1,50,2
3,14,1,24,2,24,2,24,2
6,16,1,104,4,104,2,24,2
3,20,1,24,2,24,1,22,2
4,6,1,52,3,52,1,17,2
8,13,1,104,4,104,1,17,2
1,25,1,15,2,15,2,35,2
2,9,1,24,2,24,2,22,2
3,16,1,60,3,60,1,30,2
25,15,1,300,5,300,1,18,2
2,17,1,24,2,24,1,22,2
1,18,1,120,4,120,1,50,2
2,15,1,52,3,52,2,50,2
3,14,1,24,2,24,2,15,2
2,16,1,84,3,84,1,24,2
5,15,1,339,5,360,2,21,2
2,18,1,60,3,60,2,24,2
1,18,1,24,2,24,1,50,1
1,13,1,4,1,4,1,17,1
2,16,1,84,3,84,1,20,1
3,21,1,72,3,72,2,24,1
2,16,1,312,5,312,1,35,2
1,16,1,96,3,96,1,35,2
3,20,1,60,3,60,2,22,2
1,21,1,36,2,36,2,26,2
13,14,1,156,4,156,1,18,1
25,16,1,312,5,312,1,24,1
2,21,1,52,3,52,1,24,1
7,18,1,12,2,12,1,26,1
3,17,1,24,2,24,2,22,2
1,16,1,260,4,260,2,35,2
3,18,1,5,1,5,1,26,1
5,17,1,72,3,72,1,21,2
5,12,1,14,2,14,2,50,2
3,18,1,10,1,10,2,20,2
2,15,1,52,3,52,1,24,2
8,14,1,52,3,52,1,35,2
8,16,1,24,2,24,1,20,1
10,12,1,144,4,144,1,18,2
1,20,1,36,2,36,1,24,2
1,12,1,60,3,60,1,26,2
2,15,1,12,2,12,2,30,2
5,11,1,208,4,208,2,24,1
2,15,1,10,1,10,2,16,2
5,5,1,48,2,48,1,16,2
5,12,1,84,3,84,1,16,2
3,14,1,52,3,52,2,26,2
1,17,1,104,4,104,1,22,2
2,15,1,104,4,104,1,20,2
3,16,1,52,3,52,2,24,2
4,20,1,4,1,4,2,22,2
2,13,1,5,1,5,1,30,2
10,15,1,104,4,104,2,22,2
1,17,1,1,1,1,2,35,2
3,13,1,12,2,12,2,22,2
1,21,1,156,4,156,2,26,2
12,18,1,12,2,12,1,19,2
3,15,1,104,4,104,1,35,2
6,14,1,12,2,12,2,19,2
6,19,1,156,4,156,1,22,2
4,15,1,260,4,260,2,22,2
3,15,1,96,3,96,1,22,2
8,17,1,208,4,208,1,24,2
2,19,1,25,2,25,2,35,2
6,16,1,48,2,48,1,17,2
6,17,1,364,5,364,1,26,1
2,15,1,104,4,104,1,50,2
1,16,1,96,3,96,1,26,2
7,13,1,156,4,156,1,21,1
1,18,1,12,2,12,2,35,2
5,14,1,156,4,156,1,19,1
2,16,1,20,2,20,2,24,2
16,16,1,52,3,52,2,35,1
2,16,1,24,2,24,2,22,2
3,10,1,7,1,7,2,35,2
1,20,1,50,3,50,1,35,2
3,15,1,60,3,60,1,24,2
1,14,1,52,3,52,1,24,2
1,14,1,52,3,52,1,17,2
3,16,1,52,3,52,1,35,2
4,19,1,240,4,240,1,22,2
2,15,1,104,4,104,1,50,1
2,18,1,260,4,260,2,50,2
3,18,1,208,4,208,1,50,2
2,21,1,52,3,52,1,50,2
6,14,1,104,4,104,1,22,2
4,14,1,24,2,24,2,22,2
4,16,1,104,4,104,2,22,1
6,19,1,351,5,364,1,50,2
2,18,1,156,4,156,2,26,2
2,16,1,156,4,156,1,24,2
12,13,1,24,2,24,1,16,2
3,15,1,52,3,52,1,20,2
7,14,1,96,3,96,1,18,1
2,16,1,24,2,24,2,30,2
2,16,1,3,1,3,1,17,2
8,20,1,104,4,104,1,22,1
5,17,1,3,1,3,2,17,2
2,15,1,156,4,156,1,21,1
6,15,1,156,4,156,1,30,2
2,13,1,156,4,156,2,14,2
1,21,1,36,2,36,1,22,1
1,16,1,10,1,10,2,35,2
2,18,1,208,4,208,2,50,2
3,18,1,260,4,260,1,65,1
1,17,1,104,4,104,2,35,2
2,15,1,104,4,104,1,50,2
6,18,1,240,4,240,2,22,2
4,15,1,36,2,36,2,26,2
10,16,1,156,4,156,1,19,2
1,21,1,104,4,104,2,65,2
4,12,1,36,2,36,1,19,2
4,12,1,156,4,156,2,24,2
6,16,1,156,4,156,2,19,2
5,17,1,1,1,1,2,17,2
3,16,1,208,4,208,2,24,1
1,21,1,104,4,104,1,22,2
12,11,1,104,4,104,1,19,1
3,14,1,365,5,365,1,30,2
1,18,1,24,2,24,2,35,2
2,18,1,48,2,48,1,35,1
7,17,1,260,4,260,1,35,1
2,21,1,4,1,4,2,22,2
4,13,1,312,5,312,2,19,2
3,15,1,25,2,25,2,19,2
4,17,1,52,3,52,1,26,2
2,18,1,208,4,208,2,21,2
4,13,1,104,4,104,2,24,2
5,14,1,104,4,104,2,20,1
1,15,1,10,1,10,2,35,2
1,22,1,52,3,52,2,50,2
1,18,1,10,1,10,2,35,2
10,16,1,156,4,156,1,22,2
5,14,1,8,1,8,2,16,2
2,18,1,10,1,10,2,35,2
3,14,1,156,4,156,1,22,2
5,14,1,50,3,50,2,18,2
16,13,1,52,3,52,1,21,1
2,17,1,156,4,156,2,24,2
2,18,1,96,3,96,1,21,1
1,16,1,52,3,52,1,65,2
8,16,1,48,2,48,1,22,2
4,14,1,48,2,48,2,20,1
4,16,1,156,4,156,1,26,2
3,14,1,24,2,24,2,30,2
4,16,1,22,2,22,2,18,1
1,20,1,35,2,52,2,21,2
2,21,1,24,2,24,2,22,2
3,16,1,300,5,300,1,65,1
2,18,1,36,2,36,1,35,2
4,18,1,104,4,104,2,22,2
4,16,1,84,3,84,2,18,2
2,12,1,48,2,48,2,30,2
6,15,1,104,4,104,1,22,2
2,17,1,48,2,48,2,24,2
1,17,1,12,2,12,1,35,2
3,15,1,5,1,5,2,18,2
3,15,1,52,3,52,2,24,2
6,17,1,104,4,104,1,35,2
4,19,1,104,4,104,1,35,2
18,15,1,42,2,72,1,16,2
6,15,1,120,4,120,1,22,2
2,13,1,36,2,36,2,35,2
7,13,1,84,3,84,1,30,2
1,12,1,48,2,48,2,35,2
5,13,1,48,2,48,2,17,2
2,17,1,36,2,36,1,21,1
2,18,1,24,2,24,1,35,2
2,28,1,5,1,5,1,30,2
1,11,1,104,4,104,2,18,2
1,18,1,48,2,48,2,65,2
2,16,1,52,3,52,1,50,2
9,16,1,20,2,24,2,17,2
10,18,1,4,1,4,2,18,1
3,15,1,48,2,48,1,21,2
1,16,1,104,4,104,1,21,2
2,22,1,104,4,104,1,35,2
15,10,1,52,3,52,2,20,1
1,18,1,156,4,156,1,30,2
10,13,1,104,4,104,1,17,1
14,14,1,300,5,300,1,18,2
20,10,1,156,4,156,1,22,2
1,15,1,365,5,365,2,65,2
2,16,1,36,2,36,1,24,2
1,14,1,36,2,36,1,30,2
1,10,1,3,1,3,2,17,2
3,16,1,30,2,30,1,35,2
1,18,1,48,2,48,2,50,2
2,17,1,10,1,10,2,30,2
1,16,1,52,3,52,1,65,2
2,15,1,10,1,10,2,35,2
2,15,1,52,3,52,2,35,2
1,18,1,24,2,24,2,35,2
2,15,1,21,2,36,2,16,2
1,16,1,300,5,300,1,24,2
2,16,1,260,4,260,1,50,2
7,14,1,96,3,96,1,19,1
20,16,1,104,4,104,2,22,2
10,12,1,343,5,364,1,21,2
2,15,1,104,4,104,2,22,1
2,21,1,5,1,5,2,21,2
8,14,1,104,4,104,1,18,2
1,12,1,48,2,48,1,50,2
8,16,1,104,4,104,1,35,1
5,16,1,12,2,12,2,26,2
3,15,1,84,3,84,2,18,1
6,12,1,104,4,104,1,30,2
4,11,1,260,4,260,2,18,1
4,15,1,104,4,104,2,21,1
6,17,1,48,2,48,2,35,2
1,15,1,60,3,60,1,35,2
1,14,1,52,3,52,1,35,2
6,18,1,4,1,4,1,22,1
1,25,1,364,5,364,2,50,2
2,18,1,104,4,104,2,35,2
6,10,1,156,4,156,1,19,2
1,20,1,104,4,104,2,50,2
8,18,1,102,4,104,1,18,2
2,17,1,156,4,156,2,30,2
4,19,1,60,3,60,1,21,2
6,16,1,180,4,180,1,26,1
1,20,1,60,3,60,2,24,2
7,14,1,36,2,36,1,17,2
7,14,1,60,3,60,2,19,2
1,18,1,48,2,48,2,35,2
12,11,1,104,4,104,1,17,2
4,15,1,52,3,52,2,19,2
7,16,1,104,4,104,1,24,1
3,15,1,48,2,48,1,24,1
2,18,1,24,2,24,2,26,2
1,14,1,24,2,24,1,35,2
6,13,1,104,4,104,2,21,2
30,16,1,36,2,36,2,30,1
5,15,1,104,4,104,2,22,2
2,17,1,52,3,52,2,30,2
3,14,1,104,4,104,1,35,2
2,8,1,5,1,5,2,14,2
2,15,1,10,1,10,2,19,2
8,16,1,10,1,10,1,17,2
4,17,1,104,4,104,2,24,2
3,14,1,36,2,36,1,21,2
3,15,1,104,4,104,1,30,1
6,12,1,208,4,208,2,24,1
1,21,1,1,1,1,2,22,2
3,15,1,104,4,104,1,35,2
25,10,1,260,4,260,1,35,2
1,25,1,24,2,24,2,35,2
1,14,1,36,2,36,2,35,2
1,16,1,9,1,9,1,26,2
2,14,1,48,2,48,2,22,2
2,18,1,260,4,260,2,22,2
3,18,1,84,3,84,1,20,2
1,18,1,312,5,312,1,50,2
2,18,1,48,2,48,1,65,1
1,15,1,10,1,10,2,35,2
5,13,1,104,4,104,1,20,2
4,16,1,208,4,208,1,35,2
7,12,1,156,4,156,2,19,2
1,15,1,4,1,4,2,20,2
1,15,1,24,2,24,1,35,2
7,25,1,156,4,156,1,50,2
1,23,1,3,1,3,2,30,1
1,15,1,1,1,1,2,19,2
2,18,1,5,1,5,1,18,2
9,17,1,72,3,72,1,19,2
7,17,1,72,3,72,1,21,2
2,16,1,52,3,52,2,50,2
2,21,1,48,2,48,2,35,2
2,17,1,52,3,52,1,30,2
1,16,1,5,1,5,2,26,2
1,20,1,144,4,144,2,65,2
1,15,1,40,2,40,1,35,2
2,18,1,260,4,260,1,65,2
6,12,1,144,4,144,1,30,1
5,15,1,84,3,84,2,20,2
1,21,1,260,4,260,1,65,2
3,16,1,6,1,6,1,30,2
1,14,1,3,1,1,2,14,2
2,15,1,36,2,36,2,35,2
1,17,1,104,4,104,2,35,2
3,17,1,104,4,104,2,35,2
3,14,1,120,4,120,1,22,2
1,15,1,9,1,9,2,18,2
7,14,1,20,2,20,1,35,1
2,16,1,60,3,60,2,19,2
3,13,1,48,2,48,1,24,2
1,16,1,52,3,52,1,35,2
2,13,1,48,2,48,1,17,2
2,17,1,60,3,60,1,30,1
4,17,1,325,5,325,1,50,1
8,16,1,104,4,104,2,24,1
5,15,1,156,4,156,2,22,1
3,11,1,24,2,24,2,35,1
5,13,1,52,3,52,2,21,2
8,15,1,24,2,24,2,30,1
3,14,1,51,3,132,2,14,2
1,12,1,5,1,5,2,14,2
7,17,1,84,3,84,1,20,2
2,22,1,60,3,60,1,30,2
5,15,1,104,4,104,1,20,2
4,16,1,84,3,84,2,24,1
12,15,1,104,4,104,1,24,2
1,14,1,52,3,52,1,35,2
5,12,1,52,3,52,1,35,1
1,17,1,10,1,10,2,24,2
9,17,1,312,5,312,1,35,1
1,18,1,260,4,260,1,26,2
2,13,1,108,4,108,1,50,1
1,16,1,52,3,52,2,30,2
1,23,1,48,2,48,1,30,2
2,19,1,5,1,5,1,65,1
3,21,1,60,3,60,1,24,1
2,14,1,104,4,104,1,35,2
10,13,1,208,4,208,1,19,2
2,14,1,104,4,104,1,35,2
2,17,1,72,3,72,2,20,2
3,3,1,48,2,48,2,30,2
3,18,1,52,3,52,1,24,2
3,14,1,364,5,364,1,35,2
2,13,1,260,4,260,1,35,2
5,12,1,156,4,156,1,14,2
3,10,1,240,4,240,1,17,2
8,14,1,156,4,156,1,21,1
1,23,1,260,4,260,1,65,2
14,11,1,20,2,20,2,21,1
1,20,1,5,1,5,2,35,2
2,19,1,180,4,180,1,22,2
4,18,1,156,4,156,2,35,2
1,15,1,84,3,84,1,35,1
1,18,1,3,1,3,2,30,2
1,41,1,1,1,1,2,35,2
3,15,1,36,2,36,1,22,1
4,6,1,104,4,104,1,35,1
1,18,1,120,4,120,2,35,2
4,7,1,208,4,208,2,26,2
3,16,1,156,4,156,1,35,2
1,18,1,60,3,60,2,35,2
6,16,1,156,4,156,1,21,1
1,18,1,48,2,48,2,50,2
4,13,1,156,4,156,2,22,2
1,16,1,104,4,104,2,35,2
1,16,1,120,4,120,1,50,2
1,18,1,156,4,156,1,22,2
5,21,1,17,2,48,1,21,2
3,14,1,208,4,208,1,22,1
1,19,1,36,2,36,1,30,2
3,18,1,260,4,260,2,30,2
4,11,1,260,4,260,1,21,1
1,15,1,6,1,6,2,35,2
2,18,1,5,1,5,2,35,2
1,12,1,84,3,84,1,16,2
1,17,1,180,4,180,1,22,2
1,13,1,28,2,1,2,14,2
6,16,1,48,2,48,2,24,2
5,18,1,144,4,144,1,26,1
1,20,1,240,4,240,2,65,2
2,15,1,3,1,3,2,50,2
2,13,1,104,4,104,2,19,2
1,21,1,7,1,7,2,35,2
5,17,1,52,3,52,2,19,1
4,14,1,36,2,36,2,22,2
4,15,1,104,4,104,1,22,1
2,18,1,30,2,30,2,50,2
3,15,1,104,4,104,1,35,2
2,16,1,52,3,52,2,50,2
1,17,1,52,3,52,2,24,2
3,14,1,156,4,156,1,35,2
4,18,1,48,2,48,1,50,2
8,17,1,52,3,52,2,18,2
1,18,1,260,4,260,2,35,2
4,13,1,48,2,48,1,16,1
6,13,1,52,3,52,1,16,2
1,18,1,48,2,48,1,35,2
8,14,1,36,2,36,2,22,2
10,5,1,240,4,240,1,21,1
2,16,1,24,2,24,2,22,2
1,15,1,48,2,48,1,19,1
7,12,1,312,5,312,2,20,2
2,13,1,24,2,24,1,17,1
5,15,1,260,4,260,1,22,1
4,17,1,52,3,52,2,35,1
3,16,1,156,4,156,2,22,2
1,18,1,24,2,24,2,20,2
4,14,1,5,1,5,1,50,1
1,15,1,1,1,1,1,15,2
6,14,1,364,5,364,1,35,2
1,11,1,4,1,4,1,14,2
2,22,1,5,1,5,1,22,2
1,18,1,12,2,12,2,35,2
4,18,1,260,4,260,2,22,2
6,15,1,120,4,120,1,22,2
5,17,1,72,3,72,2,19,2
2,19,1,120,4,120,2,30,2
8,15,1,104,4,104,2,26,2
2,17,1,104,4,104,1,30,2
2,18,1,52,3,52,2,65,2
2,18,1,5,1,5,2,24,2
2,15,1,10,1,10,2,22,2
1,19,1,48,2,48,1,22,2
1,14,1,156,4,156,1,35,1
2,13,1,104,4,104,1,30,2
2,14,1,208,4,208,1,24,2
1,20,1,60,3,60,2,50,2
3,15,1,180,4,180,1,30,2
1,16,1,12,2,12,1,65,2
2,12,1,156,4,156,2,26,2
3,15,1,24,2,24,2,17,2
3,14,1,104,4,104,2,21,2
2,15,1,260,4,260,1,30,2
4,17,1,84,3,84,2,20,1
3,13,1,156,4,156,2,19,2
5,14,1,52,3,52,1,30,2
1,17,1,156,4,156,1,35,2
1,18,1,104,4,104,2,30,2
2,14,1,24,2,24,2,26,2
2,13,1,52,3,52,2,35,2
1,16,1,104,4,104,1,50,2
1,14,1,72,3,72,1,24,2
1,19,1,156,4,156,1,65,2
9,12,1,24,2,24,2,19,1
1,15,1,12,2,12,2,18,2
2,13,1,12,2,12,2,30,1
1,15,1,52,3,52,2,22,2
1,25,1,208,4,208,1,65,2
3,17,1,30,2,30,2,24,2
3,5,1,260,4,260,1,22,2
3,25,1,104,4,104,2,50,2
2,17,1,104,4,104,1,24,2
2,15,1,156,4,156,1,20,1
1,13,1,144,4,144,1,65,2
3,14,1,52,3,52,2,17,1
10,12,1,208,4,208,1,26,1
6,12,1,48,2,48,1,22,2
3,20,1,156,4,156,2,22,2
1,14,1,2,1,2,1,16,2
2,16,1,16,2,16,2,24,2
30,15,1,260,4,12,1,30,1
3,16,1,10,1,10,1,18,2
5,12,1,260,4,260,2,19,1
3,13,1,48,2,48,2,15,2
4,15,1,104,4,104,1,35,1
10,15,1,208,4,208,2,22,1
1,16,1,4,1,4,2,30,2
1,35,1,5,1,5,2,35,2
1,21,1,5,1,5,2,50,2
5,14,1,60,3,60,1,16,2
1,12,1,2,1,2,2,12,2
3,18,1,10,1,10,1,35,1
1,14,1,12,2,12,2,26,2
2,15,1,3,1,3,1,17,2
4,17,1,72,3,72,2,18,2
1,15,1,15,2,15,1,18,2
7,12,1,208,4,208,2,21,2
6,15,1,6,1,6,1,22,2
2,19,1,120,4,120,1,26,2
8,13,1,156,4,156,1,19,1
1,2,1,5,1,5,1,22,1
1,21,1,4,1,4,2,22,2
12,19,1,104,4,104,1,26,2
3,15,1,15,2,15,2,26,2
1,16,1,84,3,84,2,19,1
3,11,1,104,4,104,1,35,2
6,16,1,52,3,52,1,19,1
1,16,1,30,2,30,2,35,2
3,13,1,48,2,48,1,35,2
3,10,1,156,4,156,1,30,2
7,16,1,104,4,104,1,21,2
1,17,1,12,2,12,2,50,1
3,17,1,52,3,52,2,35,2
2,16,1,208,4,208,2,22,2
3,7,1,104,4,104,2,13,2
4,16,1,48,2,48,2,30,1
4,16,1,4,1,4,2,16,2
4,12,1,49,2,52,1,13,2
2,18,1,36,2,36,2,19,2
6,14,1,52,3,52,1,22,2
2,17,1,156,4,156,1,50,2
1,17,1,24,2,24,2,35,2
6,19,1,60,3,60,2,22,2
1,11,1,24,2,24,2,15,2
2,18,1,180,4,180,2,65,2
1,20,1,10,1,10,2,50,2
3,13,1,10,1,10,2,18,2
1,17,1,362,5,364,2,50,2
3,15,1,104,4,104,2,20,1
2,11,1,156,4,156,2,24,2
2,15,1,6,1,6,2,22,1
7,18,1,36,2,52,1,19,2
3,15,1,208,4,208,2,26,2
4,13,1,48,2,48,2,19,2
1,18,1,36,2,36,1,35,2
1,17,1,104,4,104,1,35,1
2,20,1,208,4,208,2,50,2
4,13,1,1,1,1,1,35,2
2,14,1,156,4,156,2,26,2
5,19,1,156,4,156,1,24,2
2,16,1,104,4,104,2,26,2
1,16,1,104,4,104,2,24,1
3,16,1,156,4,156,1,24,2
12,13,1,48,2,48,1,22,2
5,15,1,312,5,312,1,22,1
2,6,1,260,4,260,1,50,2
3,14,1,36,2,36,1,30,2
2,19,1,96,3,96,2,35,2
3,17,1,36,2,36,1,30,2
1,17,1,36,2,36,2,24,2
6,4,1,24,2,24,1,30,1
6,14,1,260,4,260,1,26,1
2,18,1,60,3,60,1,21,2
6,15,1,72,3,72,1,17,2
2,17,1,24,2,24,2,24,2
4,20,1,72,3,72,2,22,2
8,12,1,104,4,104,1,19,2
3,15,1,27,2,27,2,17,2
1,19,1,48,2,48,1,35,2
3,16,1,4,1,4,2,16,2
8,13,1,72,3,72,2,17,2
4,16,1,180,4,180,2,26,2
6,15,1,144,4,144,1,35,2
4,13,1,240,4,240,1,16,2
2,18,1,104,4,104,2,50,2
5,11,1,25,2,25,1,19,1
3,13,1,260,4,260,2,26,1
2,17,1,36,2,36,1,26,2
5,14,1,48,2,48,2,20,2
2,17,1,52,3,52,1,19,2
1,15,1,7,1,7,2,50,2
2,15,1,24,2,24,2,35,1
1,15,1,24,2,24,1,19,2
