NODR30A,ALCTRY,ALCREC,IRALCFY,ALCYDAYS,TOTDRINK,IRSEX,AGE_YRS,BOOKED
1,18,1,52,3,52,2,22,2
2,15,1,2,1,2,2,17,2
1,18,1,48,2,48,2,65,2
6,12,1,1,1,1,2,13,2
1,30,1,104,4,104,2,35,2
4,15,1,120,4,120,2,16,2
3,13,1,11,1,52,1,13,1
1,18,1,120,4,120,1,65,2
5,18,1,52,3,52,1,24,1
8,3,1,104,4,104,1,24,2
2,19,1,156,4,156,2,35,2
1,16,1,96,3,96,2,24,1
5,17,1,156,4,156,1,20,2
5,14,1,260,4,260,1,30,2
2,18,1,72,3,72,1,35,1
5,14,1,260,4,260,1,22,2
3,17,1,364,5,364,1,65,1
4,15,1,144,4,144,1,19,2
1,22,1,5,1,5,2,65,2
1,15,1,48,2,48,2,30,2
1,17,1,10,1,10,2,35,2
3,13,1,156,4,156,1,22,1
8,14,1,260,4,260,1,35,1
3,12,1,208,4,208,1,24,2
3,14,1,48,2,48,2,24,2
3,12,1,12,2,12,2,50,2
2,16,1,208,4,208,1,50,2
3,14,1,364,5,364,1,35,2
3,16,1,104,4,104,2,50,2
3,15,1,24,2,24,1,24,1
2,18,1,6,1,6,2,65,2
2,16,1,120,4,120,2,26,2
3,14,1,12,2,12,2,22,2
5,13,1,156,4,156,2,20,2
2,17,1,104,4,104,2,22,2
10,17,1,52,3,52,1,35,2
8,12,1,104,4,104,1,15,2
3,21,1,104,4,104,1,24,2
8,16,1,104,4,104,1,26,1
6,14,1,120,4,120,1,22,1
2,16,1,72,3,72,1,35,2
3,15,1,24,2,24,1,19,2
1,15,1,260,4,260,2,22,2
6,16,1,84,3,84,2,19,2
4,17,1,144,4,144,2,20,2
10,17,1,96,3,96,1,19,2
1,15,1,15,2,15,1,18,2
2,18,1,5,1,5,2,22,2
1,16,1,4,1,4,2,20,2
7,16,1,72,3,72,1,19,2
4,15,1,52,3,52,2,19,2
2,5,1,6,1,6,1,35,2
1,14,1,52,3,52,2,22,2
2,14,1,24,2,24,1,35,2
12,14,1,15,2,36,2,14,2
1,11,1,312,5,312,1,35,1
2,17,1,2,1,2,2,21,2
3,17,1,24,2,24,2,21,2
2,12,1,48,2,48,1,35,2
1,18,1,208,4,208,2,30,2
6,13,1,20,2,20,1,30,2
12,15,1,358,5,364,1,18,2
9,13,1,52,3,52,1,22,1
1,19,1,52,3,52,2,24,2
4,14,1,312,5,312,2,22,2
2,20,1,5,1,5,1,26,1
6,16,1,52,3,52,1,35,1
7,12,1,48,2,48,1,30,1
2,15,1,6,1,6,2,35,1
2,16,1,72,3,72,2,22,2
1,18,1,24,2,24,1,35,2
5,17,1,156,4,156,2,22,2
1,16,1,52,3,52,1,21,2
4,13,1,4,1,4,2,24,2
